bairro,cidade,preco,dados,referencia,tipo
"OLIMPICO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 3 vagas - 210,00 m² de área construída - 227,50 m² de terreno","Ref.: 62337","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 640.000,00","3 dormitórios - 1 suíte - 2 vagas - 129,00 m² de área construída - 71,40 m² de terreno","Ref.: 61822","SOBRADO"
"CERAMICA","SAO CAETANO DO SUL","R$ 600.000,00","3 dormitórios - 1 suíte - 2 vagas - 177,00 m² de área construída - 144,00 m² de terreno","Ref.: 62022","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 540.000,00","2 dormitórios - 2 vagas - 128,00 m² de área construída - 210,00 m² de terreno","Ref.: 60324","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.100.000,00","2 dormitórios - 1 suíte - 2 vagas - 400,00 m² de área construída - 210,00 m² de terreno","Ref.: 61972","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 800.000,00","2 dormitórios - 2 vagas - 204,00 m² de área construída - 153,00 m² de terreno","Ref.: 61679","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 850.000,00","4 dormitórios - 4 suítes - 4 vagas - 300,00 m² de área construída - 175,00 m² de terreno","Ref.: 60509","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 400.000,00","2 dormitórios - 80,00 m² de área construída - 120,00 m² de terreno","Ref.: 62038","CASA"
"MAUA","SAO CAETANO DO SUL","R$ 1.000.000,00","4 dormitórios - 1 suíte - 4 vagas - 449,00 m² de área construída - 330,00 m² de terreno","Ref.: 61026","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.500.000,00","3 dormitórios - 1 suíte - 8 vagas - 500,00 m² de área construída - 500,00 m² de terreno","Ref.: 60551","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 600.000,00","2 dormitórios - 1 suíte - 1 vaga - 150,00 m² de área construída - 58,17 m² de terreno","Ref.: 61790","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 890.000,00","3 dormitórios - 3 suítes - 2 vagas - 222,00 m² de área construída - 117,00 m² de terreno","Ref.: 62194","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.850.000,00","3 dormitórios - 3 suítes - 6 vagas - 360,00 m² de área construída","Ref.: 62299","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 600.000,00","2 dormitórios - 2 vagas - 154,00 m² de área construída - 240,00 m² de terreno","Ref.: 62107","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.500.000,00","3 dormitórios - 1 suíte - 14 vagas - 400,00 m² de área construída - 400,00 m² de terreno","Ref.: 59814","CASA"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 1.260.000,00","2 dormitórios - 3 vagas - 260,00 m² de área construída - 306,00 m² de terreno","Ref.: 60337","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 600.000,00","1 dormitório - 3 vagas - 140,00 m² de área construída - 200,00 m² de terreno","Ref.: 62167","CASA"
"FUNDACAO","SAO CAETANO DO SUL","R$ 540.000,00","2 dormitórios - 120,00 m² de área construída - 200,00 m² de terreno","Ref.: 60797","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 3 vagas - 400,00 m² de terreno","Ref.: 59868","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 750.000,00","2 dormitórios - 2 suítes - 2 vagas - 155,00 m² de área construída - 196,00 m² de terreno","Ref.: 60626","CASA"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 1.600.000,00","3 dormitórios - 3 suítes - 6 vagas","Ref.: 62100","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 510.000,00","2 dormitórios - 1 suíte - 6 vagas - 113,00 m² de área construída - 205,00 m² de terreno","Ref.: 62144","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 690.000,00","3 dormitórios - 1 suíte - 2 vagas - 212,00 m² de área construída - 125,00 m² de terreno","Ref.: 62264","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 630.000,00","3 dormitórios - 2 vagas - 130,00 m² de área construída - 192,00 m² de terreno","Ref.: 62003","CASA"
"PROSPERIDADE","SAO CAETANO DO SUL","R$ 1.100.000,00","4 dormitórios - 3 suítes - 8 vagas - 198,00 m² de área construída - 430,00 m² de terreno","Ref.: 61519","CASA"
"BOA VISTA","SAO CAETANO DO SUL","R$ 1.400.000,00","3 dormitórios - 1 vaga - 380,00 m² de área construída - 500,00 m² de terreno","Ref.: 62243","CASA TERREA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 520.000,00","3 dormitórios - 1 vaga","Ref.: 03227","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.200.000,00","3 dormitórios - 3 suítes - 7 vagas - 440,00 m² de área construída - 210,00 m² de terreno","Ref.: 62086","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 2 vagas - 156,00 m² de área construída - 176,50 m² de terreno","Ref.: 60929","CASA"
"SANTO ANTONIO","SAO CAETANO DO SUL","R$ 1.350.000,00","3 dormitórios - 4 vagas - 500,00 m² de área construída - 298,85 m² de terreno","Ref.: 62273","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 950.000,00","3 dormitórios - 6 vagas - 187,00 m² de área construída - 500,00 m² de terreno","Ref.: 61467","CASA"
