bairro;cidade;preco;dados;referencia;tipo;dados;m² de área construída;m² de terreno;vaga;dormitório;suíte
MAUA;SAO CAETANO DO SUL;R$ 550.000,00;3 dormitórios - 1 suíte - 3 vagas - 105,00 m² de área construída - 131,00 m² de terreno;Ref.: 62378;CASA;3 dormitórios - 1 suíte - 3 vagas - 105,00 m² de área construída - 131,00 m² de terreno;105;131;3;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 620.000,00;3 dormitórios - 2 vagas - 98,00 m² de área construída - 66,00 m² de terreno;Ref.: 62244;SOBRADO;3 dormitórios - 2 vagas - 98,00 m² de área construída - 66,00 m² de terreno;98;66;2;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 3 vagas - 333,00 m² de área construída - 222,50 m² de terreno;Ref.: 61234;CASA;3 dormitórios - 1 suíte - 3 vagas - 333,00 m² de área construída - 222,50 m² de terreno;333;222,5;3;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 640.000,00;2 dormitórios - 1 vaga - 90,00 m² de área construída - 150,00 m² de terreno;Ref.: 61132;CASA;2 dormitórios - 1 vaga - 90,00 m² de área construída - 150,00 m² de terreno;90;150;1;2;
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 430.000,00;2 dormitórios - 1 vaga - 94,00 m² de área construída - 69,00 m² de terreno;Ref.: 62355;SOBRADO;2 dormitórios - 1 vaga - 94,00 m² de área construída - 69,00 m² de terreno;94;69;1;2;
SANTA PAULA;SAO CAETANO DO SUL;R$ 890.000,00;4 dormitórios - 5 vagas - 210,00 m² de área construída - 175,00 m² de terreno;Ref.: 61612;SOBRADO;4 dormitórios - 5 vagas - 210,00 m² de área construída - 175,00 m² de terreno;210;175;5;4;
SANTA MARIA;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 3 suítes - 5 vagas - 290,00 m² de área construída - 147,00 m² de terreno;Ref.: 62197;SOBRADO;3 dormitórios - 3 suítes - 5 vagas - 290,00 m² de área construída - 147,00 m² de terreno;290;147;5;3;3
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 670.000,00;3 dormitórios - 2 suítes - 2 vagas - 207,00 m² de área construída - 133,90 m² de terreno;Ref.: 62373;SOBRADO;3 dormitórios - 2 suítes - 2 vagas - 207,00 m² de área construída - 133,90 m² de terreno;207;133,9;2;3;2
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.150.000,00;2 dormitórios - 2 vagas - 200,00 m² de área construída - 500,00 m² de terreno;Ref.: 60871;CASA;2 dormitórios - 2 vagas - 200,00 m² de área construída - 500,00 m² de terreno;200;500;2;2;
BOA VISTA;SAO CAETANO DO SUL;R$ 600.000,00;3 dormitórios - 2 vagas - 167,00 m² de área construída - 108,32 m² de terreno;Ref.: 61879;SOBRADO;3 dormitórios - 2 vagas - 167,00 m² de área construída - 108,32 m² de terreno;167;108,32;2;3;
SANTA MARIA;SAO CAETANO DO SUL;R$ 450.000,00;2 dormitórios - 1 vaga - 96,00 m² de área construída - 115,00 m² de terreno;Ref.: 61705;CASA TERREA;2 dormitórios - 1 vaga - 96,00 m² de área construída - 115,00 m² de terreno;96;115;1;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 430.000,00;3 dormitórios - 1 suíte - 2 vagas - 106,00 m² de área construída - 60,00 m² de terreno;Ref.: 60710;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 106,00 m² de área construída - 60,00 m² de terreno;106;60;2;3;1
CERAMICA;SAO CAETANO DO SUL;R$ 375.000,00;1 dormitório - 1 vaga - 71,00 m² de área construída - 81,00 m² de terreno;Ref.: 62198;CASA TERREA;1 dormitório - 1 vaga - 71,00 m² de área construída - 81,00 m² de terreno;71;81;1;1;
SANTA MARIA;SAO CAETANO DO SUL;R$ 500.000,00;3 dormitórios - 2 vagas - 120,00 m² de área construída - 125,00 m² de terreno;Ref.: 61835;SOBRADO;3 dormitórios - 2 vagas - 120,00 m² de área construída - 125,00 m² de terreno;120;125;2;3;
BARCELONA;SAO CAETANO DO SUL;R$ 1.100.000,00;2 dormitórios - 1 suíte - 6 vagas - 129,00 m² de área construída - 200,00 m² de terreno;Ref.: 61903;CASA TERREA;2 dormitórios - 1 suíte - 6 vagas - 129,00 m² de área construída - 200,00 m² de terreno;129;200;6;2;1
NOVA GERTI;SAO CAETANO DO SUL;R$ 700.000,00;3 dormitórios - 1 suíte - 2 vagas - 190,00 m² de área construída - 99,60 m² de terreno;Ref.: 60792;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 190,00 m² de área construída - 99,60 m² de terreno;190;99,6;2;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 450.000,00;1 dormitório - 133,00 m² de área construída - 208,60 m² de terreno;Ref.: 62358;CASA;1 dormitório - 133,00 m² de área construída - 208,60 m² de terreno;133;208,6;;1;
NOVA GERTI;SAO CAETANO DO SUL;R$ 560.000,00;2 dormitórios - 7 vagas - 160,00 m² de área construída - 324,00 m² de terreno;Ref.: 61996;CASA TERREA;2 dormitórios - 7 vagas - 160,00 m² de área construída - 324,00 m² de terreno;160;324;7;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 750.000,00;2 dormitórios - 1 vaga - 310,00 m² de área construída - 130,00 m² de terreno;Ref.: 62226;SOBRADO;2 dormitórios - 1 vaga - 310,00 m² de área construída - 130,00 m² de terreno;310;130;1;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 890.000,00;2 dormitórios - 5 vagas - 200,00 m² de área construída - 320,00 m² de terreno;Ref.: 61846;CASA;2 dormitórios - 5 vagas - 200,00 m² de área construída - 320,00 m² de terreno;200;320;5;2;
