bairro;cidade;preco;dados;referencia;tipo;dados;m² de área construída;m² de terreno;vaga;dormitório;suíte
BARCELONA;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 1 suíte - 3 vagas - 145,00 m² de área construída - 200,00 m² de terreno;Ref.: 62123;CASA;3 dormitórios - 1 suíte - 3 vagas - 145,00 m² de área construída - 200,00 m² de terreno;145;200;3;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 1 suíte - 3 vagas - 214,00 m² de área construída - 150,00 m² de terreno;Ref.: 62112;SOBRADO;3 dormitórios - 1 suíte - 3 vagas - 214,00 m² de área construída - 150,00 m² de terreno;214;150;3;3;1
OLIMPICO;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 3 vagas - 210,00 m² de área construída - 227,50 m² de terreno;Ref.: 62337;SOBRADO;3 dormitórios - 3 vagas - 210,00 m² de área construída - 227,50 m² de terreno;210;227,5;3;3;
SANTA PAULA;SAO CAETANO DO SUL;R$ 640.000,00;3 dormitórios - 1 suíte - 2 vagas - 129,00 m² de área construída - 71,40 m² de terreno;Ref.: 61822;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 129,00 m² de área construída - 71,40 m² de terreno;129;71,4;2;3;1
CERAMICA;SAO CAETANO DO SUL;R$ 600.000,00;3 dormitórios - 1 suíte - 2 vagas - 177,00 m² de área construída - 144,00 m² de terreno;Ref.: 62022;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 177,00 m² de área construída - 144,00 m² de terreno;177;144;2;3;1
OLIMPICO;SAO CAETANO DO SUL;R$ 540.000,00;2 dormitórios - 2 vagas - 128,00 m² de área construída - 210,00 m² de terreno;Ref.: 60324;CASA;2 dormitórios - 2 vagas - 128,00 m² de área construída - 210,00 m² de terreno;128;210;2;2;
BARCELONA;SAO CAETANO DO SUL;R$ 1.100.000,00;2 dormitórios - 1 suíte - 2 vagas - 400,00 m² de área construída - 210,00 m² de terreno;Ref.: 61972;SOBRADO;2 dormitórios - 1 suíte - 2 vagas - 400,00 m² de área construída - 210,00 m² de terreno;400;210;2;2;1
SANTA PAULA;SAO CAETANO DO SUL;R$ 800.000,00;2 dormitórios - 2 vagas - 204,00 m² de área construída - 153,00 m² de terreno;Ref.: 61679;SOBRADO;2 dormitórios - 2 vagas - 204,00 m² de área construída - 153,00 m² de terreno;204;153;2;2;
BARCELONA;SAO CAETANO DO SUL;R$ 850.000,00;4 dormitórios - 4 suítes - 4 vagas - 300,00 m² de área construída - 175,00 m² de terreno;Ref.: 60509;SOBRADO;4 dormitórios - 4 suítes - 4 vagas - 300,00 m² de área construída - 175,00 m² de terreno;300;175;4;4;4
SANTA MARIA;SAO CAETANO DO SUL;R$ 400.000,00;2 dormitórios - 80,00 m² de área construída - 120,00 m² de terreno;Ref.: 62038;CASA;2 dormitórios - 80,00 m² de área construída - 120,00 m² de terreno;80;120;;2;
MAUA;SAO CAETANO DO SUL;R$ 1.000.000,00;4 dormitórios - 1 suíte - 4 vagas - 449,00 m² de área construída - 330,00 m² de terreno;Ref.: 61026;SOBRADO;4 dormitórios - 1 suíte - 4 vagas - 449,00 m² de área construída - 330,00 m² de terreno;449;330;4;4;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.500.000,00;3 dormitórios - 1 suíte - 8 vagas - 500,00 m² de área construída - 500,00 m² de terreno;Ref.: 60551;CASA;3 dormitórios - 1 suíte - 8 vagas - 500,00 m² de área construída - 500,00 m² de terreno;500;500;8;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 600.000,00;2 dormitórios - 1 suíte - 1 vaga - 150,00 m² de área construída - 58,17 m² de terreno;Ref.: 61790;SOBRADO;2 dormitórios - 1 suíte - 1 vaga - 150,00 m² de área construída - 58,17 m² de terreno;150;58,17;1;2;1
SANTA PAULA;SAO CAETANO DO SUL;R$ 890.000,00;3 dormitórios - 3 suítes - 2 vagas - 222,00 m² de área construída - 117,00 m² de terreno;Ref.: 62194;SOBRADO;3 dormitórios - 3 suítes - 2 vagas - 222,00 m² de área construída - 117,00 m² de terreno;222;117;2;3;3
BARCELONA;SAO CAETANO DO SUL;R$ 1.850.000,00;3 dormitórios - 3 suítes - 6 vagas - 360,00 m² de área construída;Ref.: 62299;SOBRADO;3 dormitórios - 3 suítes - 6 vagas - 360,00 m² de área construída;360;;6;3;3
BARCELONA;SAO CAETANO DO SUL;R$ 600.000,00;2 dormitórios - 2 vagas - 154,00 m² de área construída - 240,00 m² de terreno;Ref.: 62107;CASA;2 dormitórios - 2 vagas - 154,00 m² de área construída - 240,00 m² de terreno;154;240;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.500.000,00;3 dormitórios - 1 suíte - 14 vagas - 400,00 m² de área construída - 400,00 m² de terreno;Ref.: 59814;CASA;3 dormitórios - 1 suíte - 14 vagas - 400,00 m² de área construída - 400,00 m² de terreno;400;400;4;3;1
SANTA PAULA;SAO CAETANO DO SUL;R$ 1.260.000,00;2 dormitórios - 3 vagas - 260,00 m² de área construída - 306,00 m² de terreno;Ref.: 60337;SOBRADO;2 dormitórios - 3 vagas - 260,00 m² de área construída - 306,00 m² de terreno;260;306;3;2;
BARCELONA;SAO CAETANO DO SUL;R$ 600.000,00;1 dormitório - 3 vagas - 140,00 m² de área construída - 200,00 m² de terreno;Ref.: 62167;CASA;1 dormitório - 3 vagas - 140,00 m² de área construída - 200,00 m² de terreno;140;200;3;1;
FUNDACAO;SAO CAETANO DO SUL;R$ 540.000,00;2 dormitórios - 120,00 m² de área construída - 200,00 m² de terreno;Ref.: 60797;CASA;2 dormitórios - 120,00 m² de área construída - 200,00 m² de terreno;120;200;;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 3 vagas - 400,00 m² de terreno;Ref.: 59868;SOBRADO;3 dormitórios - 3 vagas - 400,00 m² de terreno;;400;3;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 750.000,00;2 dormitórios - 2 suítes - 2 vagas - 155,00 m² de área construída - 196,00 m² de terreno;Ref.: 60626;CASA;2 dormitórios - 2 suítes - 2 vagas - 155,00 m² de área construída - 196,00 m² de terreno;155;196;2;2;2
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 1.600.000,00;3 dormitórios - 3 suítes - 6 vagas;Ref.: 62100;SOBRADO;3 dormitórios - 3 suítes - 6 vagas;;;6;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 510.000,00;2 dormitórios - 1 suíte - 6 vagas - 113,00 m² de área construída - 205,00 m² de terreno;Ref.: 62144;CASA;2 dormitórios - 1 suíte - 6 vagas - 113,00 m² de área construída - 205,00 m² de terreno;113;205;6;2;1
OLIMPICO;SAO CAETANO DO SUL;R$ 690.000,00;3 dormitórios - 1 suíte - 2 vagas - 212,00 m² de área construída - 125,00 m² de terreno;Ref.: 62264;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 212,00 m² de área construída - 125,00 m² de terreno;212;125;2;3;1
OLIMPICO;SAO CAETANO DO SUL;R$ 630.000,00;3 dormitórios - 2 vagas - 130,00 m² de área construída - 192,00 m² de terreno;Ref.: 62003;CASA;3 dormitórios - 2 vagas - 130,00 m² de área construída - 192,00 m² de terreno;130;192;2;3;
PROSPERIDADE;SAO CAETANO DO SUL;R$ 1.100.000,00;4 dormitórios - 3 suítes - 8 vagas - 198,00 m² de área construída - 430,00 m² de terreno;Ref.: 61519;CASA;4 dormitórios - 3 suítes - 8 vagas - 198,00 m² de área construída - 430,00 m² de terreno;198;430;8;4;3
BOA VISTA;SAO CAETANO DO SUL;R$ 1.400.000,00;3 dormitórios - 1 vaga - 380,00 m² de área construída - 500,00 m² de terreno;Ref.: 62243;CASA TERREA;3 dormitórios - 1 vaga - 380,00 m² de área construída - 500,00 m² de terreno;380;500;1;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 520.000,00;3 dormitórios - 1 vaga;Ref.: 03227;SOBRADO;3 dormitórios - 1 vaga;;;1;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 1.200.000,00;3 dormitórios - 3 suítes - 7 vagas - 440,00 m² de área construída - 210,00 m² de terreno;Ref.: 62086;SOBRADO;3 dormitórios - 3 suítes - 7 vagas - 440,00 m² de área construída - 210,00 m² de terreno;440;210;7;3;3
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 2 vagas - 156,00 m² de área construída - 176,50 m² de terreno;Ref.: 60929;CASA;2 dormitórios - 2 vagas - 156,00 m² de área construída - 176,50 m² de terreno;156;176,5;2;2;
SANTO ANTONIO;SAO CAETANO DO SUL;R$ 1.350.000,00;3 dormitórios - 4 vagas - 500,00 m² de área construída - 298,85 m² de terreno;Ref.: 62273;CASA;3 dormitórios - 4 vagas - 500,00 m² de área construída - 298,85 m² de terreno;500;298,85;4;3;
